id,id_breaker,ad_account_id,ad_account_name,dimension_type,dimension_value,pulse_start_date,pulse_end_date,internal_id,cuts,interval,interval_start_date,interval_end_date,int_pulse_start_date,int_pulse_end_date,is_running_pulse,control_reach,%CtrlReach,xMinReachFor1Conversion,ctrl_amount_spent_usd,ctrl_conv,ctrl_revenue,test_reach,test_amount_spent_usd,test_conv,test_revenue,orders(lt),orders(i),revenue(lt),revenue(i),conversion_type,CR Test,CR Control,Base Conv,%inc,Std Error Test,St. Error Control,z score,P value,Normalised p Value,NormP*Reach,inc*NormP*reach,inc*Test Reach,Stat Sig
3dd9a182cd8f41d580ff418ee311b1ba2d29e56e,2ebb06a46fdbad7b2cccf7ed2492895333190110,124170767729247,Beer Hawk Ltd,Publisher Platforms,Unknown,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,17272,0.151019944215653,23.7101312418575,24,2,92.03,114369,861.89,157,8665.07,157,143.756716072147,8665.07,7934.15291551132,Beer Hawk - Orders,0.001372749608723,0.000115794349236,13.2432839277443,92%,0.000109482122612,8.18742288694482E-05,-9.19429363262845,1.88733193781993E-20,23.7101312418575,2711704,2482966,104721.731595336,1
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,7eef1b1f2e9a7598d8f681f4a44c8ace4d4bf5bd,124170767729247,Beer Hawk Ltd,Campaign,JF-BH-Event-Oktoberfest-FBIG-DTMB-UK,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,17272,0.151019944215653,23.7101312418575,24,2,92.03,114369,861.89,157,8665.07,157,143.756716072147,8665.07,7934.15291551132,Beer Hawk - Orders,0.001372749608723,0.000115794349236,13.2432839277443,92%,0.000109482122612,8.18742288694482E-05,-9.19429363262845,1.88733193781993E-20,23.7101312418575,2711704,2482966,104721.731595336,1
80eeb1792c02a9af375f78f7b69a96ce581ec540,c7c45a2c82d2bfde9cc802c6f4202ef6b3007cd9,124170767729247,Beer Hawk Ltd,Adset,AQ_LA_ALC003_D000_P0003_1865_U_CS00_IN000_B000_DM000_MC000_L01_PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3954,0.099132527703956,1.09045780474352,25.54,1,90,39886,251.9,11,474.87,11,0.912493677304,474.87,39.3923520492136,Beer Hawk - Orders,0.000275785990072,0.000252908447142,10.0875063227112,8%,8.3141137729864E-05,0.000252876463778,-0.085943296591059,0.46575574655644,0.577942636514065,23051.82,1912.24,3308.70207384927,
3dd9a182cd8f41d580ff418ee311b1ba2d29e56e,af887a39f00e87c800aea24e312d4e3996e5929c,124170767729247,Beer Hawk Ltd,Publisher Platforms,facebook,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3311,0.238167170191339,6.90684793554884,15.04,5,230.52,13902,186.52,29,1229.44,29,8.006342494691,1229.44,339.424748850789,Beer Hawk - Orders,0.002086030786937,0.001510117789188,20.9936575052854,28%,0.000386961952602,0.000674835088069,-0.740334946983085,0.229548390434077,5.31827291037261,73934.63,20411.93,3838.07494350076,0.77
80eeb1792c02a9af375f78f7b69a96ce581ec540,2748804ca1bc434ed81949f96d24d17e3c22e0e5,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-OktoberfestBuyersLookalikes0to2PC-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,2352,0.077631448658283,3.02762649767304,3.61,0,0,30297,280.71,39,2570.06999999999,39,39,2570.06999999999,2570.06999999999,Beer Hawk - Orders,0.001287256163977,0,0,100%,0.000205993241838,0,-6.24902133920176,0.5,1.51381324883652,45864,45864,30297,
80eeb1792c02a9af375f78f7b69a96ce581ec540,f6a23469305ce1aaca06c92fadee10525122358a,124170767729247,Beer Hawk Ltd,Adset,EC_CA_AAL001_D000_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00 - PD,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,163,0.157335907335907,1.10135135135135,1.97,0,0,1036,21.52,7,371.97,7,7,371.97,371.97,Beer Hawk - Orders,0.006756756756757,0,0,100%,0.002545171633449,0,-2.65473521233645,0.5,0.550675675675676,570.5,570.5,1036,
80eeb1792c02a9af375f78f7b69a96ce581ec540,98a51c9fb6857bdcb4e029b734755d8bb7bd5ea3,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-GermanBeerFanInterest-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,4842,0.168171714365101,9.92213114754098,4.18,0,0,28792,222.33,59,2916.04,59,59,2916.04,2916.04,Beer Hawk - Orders,0.002049180327869,0,0,100%,0.000266507074381,0,-7.68902789026874,0.5,4.96106557377049,142839,142839,28792,
80eeb1792c02a9af375f78f7b69a96ce581ec540,5d207e3aeef9d14794455d37b3793af6a6d9e53c,124170767729247,Beer Hawk Ltd,Adset,EC_CA_ALC001_D000_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00_IGS,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,4840,0.236836954394206,16.8154237619886,16.27,16,821.23,20436,220.22,71,4099.13,71,3.44297520655299,4099.13,198.777506456867,Beer Hawk - Orders,0.003474261107849,0.003305785123967,67.5570247933884,5%,0.000411602060841,0.000825079123263,-0.182719395366729,0.427509098328406,9.58479154433353,195874.8,9498.48,990.994948201607,
80eeb1792c02a9af375f78f7b69a96ce581ec540,ff157db9d5bb0050b9c32dedf49833b4117d5fee,124170767729247,Beer Hawk Ltd,Adset,AQ_CA_WSV003_D060_P000_1865_U_CS01_IN000_B000_DM000_MC000_L00_ PV00_MD00_PerfectDraft_Kegs&Machine,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1454,0.117704201408565,6.0029142718368,15.61,2,140.25,12353,517.48,51,4504.34,51,34.008253094907,4504.34,3003.62224991202,Beer Hawk - Orders,0.004128551768801,0.001375515818432,16.9917469050894,67%,0.000576918263006,0.000971967394161,-2.43569008964106,0.007431706371203,5.94288512911843,73412.46,48953.52,8237.33236238099,0.99
80eeb1792c02a9af375f78f7b69a96ce581ec540,562823b6c1b5b96711009f8af6c38f57e5b11b20,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-OktoberfestBuyersLookalikes2to4PC-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1042,0.103557940767243,1.24269528920692,1.95,1,59.04,10062,60.23,12,626.53,12,2.343570057576,626.53,122.35974568109,Beer Hawk - Orders,0.001192605843769,0.000959692898273,9.65642994241843,20%,0.000344070298646,0.000959232282504,-0.2285536120505,0.409607941210117,0.733190220632081,7377.36,1440.78,1965.08349328215,
3dd9a182cd8f41d580ff418ee311b1ba2d29e56e,223ee23d3a727ce0bef2f65a01198eb4647702f1,124170767729247,Beer Hawk Ltd,Publisher Platforms,"facebook,instagram,audience_network,messenger",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,6870,0.107796833566082,16.0617282013463,58.47,10,735.75,63731,1600.58,149,10615.15,149,56.232896652146,10615.15,4006.17874427535,Beer Hawk - Orders,0.002337951703253,0.001455604075691,92.7671033478894,38%,0.000191308438547,0.000459967294019,-1.771193890529,0.038264232437256,15.4192590732924,982684.8,370867.2,24052.2062854742,0.96
